SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532518,FLORENCE    ,X ,Q,2200.00,2300.00,2200.00,2267.00,2267.00,2285.30,37,846,1923599.00,
532521,PALRED      ,B ,Q,100.00,110.70,99.40,106.75,106.75,96.95,714,47588,5144896.00,
532522,PETRONET LNG,A ,Q,235.80,238.20,231.80,237.05,237.05,235.70,5401,239741,56115371.00,
532523,BIOCON LTD. ,A ,Q,548.00,575.30,545.35,569.85,569.85,539.60,15881,871801,492202268.00,
532524,PTC INDIA   ,A ,Q,114.90,116.40,113.50,115.60,115.70,114.60,898,155768,17900162.00,
532525,BANK MAHA   ,B ,Q,21.25,21.90,20.95,21.20,21.20,21.25,449,192959,4077942.00,
532527,RK FORGINGS ,B ,Q,810.00,834.00,806.00,827.90,833.30,792.65,143,1705,1387657.00,
532528,DATAM GLOB  ,B ,Q,131.30,131.30,123.00,129.00,129.00,131.30,517,29719,3831537.00,
532529,NDTV        ,B ,Q,46.80,46.95,45.55,45.90,46.00,45.95,76,18653,860148.00,
532531,STAR        ,A ,Q,806.00,806.00,790.00,802.90,801.85,799.35,568,18262,14597048.00,
532532,JAIPRA      ,A ,Q,21.30,21.90,20.40,21.70,21.70,20.85,7362,8760647,186289432.00,
532538,ULTRATECH CM,A ,Q,4386.90,4386.90,4277.10,4300.20,4300.20,4408.55,1453,11245,48673209.00,
532539,MINDA IND   ,B ,Q,1295.00,1314.75,1285.00,1296.90,1299.50,1293.35,406,5485,7149019.00,
532540,TCS LTD.    ,A ,Q,2920.00,2979.00,2903.05,2954.75,2954.75,2910.10,2566,54717,160267987.00,
532541,NIITTECH    ,A ,Q,694.20,733.85,682.65,728.00,728.00,692.05,3136,88752,63542119.00,
532543,GULFPETRO   ,B ,Q,86.00,86.00,80.10,82.80,82.80,84.30,252,86796,7210169.00,
532548,CENTURYPLY  ,A ,Q,345.00,350.00,333.55,346.70,346.90,341.90,394,14330,4912239.00,
532553,WELENT      ,B ,Q,178.00,183.35,175.00,180.20,180.20,177.45,1866,224471,40063717.00,
532555,NTPC LTD    ,A ,Q,172.00,172.90,170.15,172.35,172.35,172.50,650,92408,15854299.00,
532604,SALSTEEL    ,T ,Q,6.50,6.75,6.46,6.50,6.50,6.80,100,96087,628280.00,
532605,JBM AUTO    ,B ,Q,509.80,517.35,507.55,511.90,511.90,513.05,235,7852,4025257.00,
532609,BHARATIDIL  ,Z ,Q,7.00,7.09,6.61,7.00,7.05,6.82,58,29205,203219.00,
532610,DWAR SUGAR  ,B ,Q,45.10,46.40,43.35,44.70,44.75,45.50,1868,446665,20054387.00,
532612,INDOCO REM  ,B ,Q,265.00,276.70,265.00,273.55,273.55,266.70,272,7897,2159254.00,
532613,VIPCLOTHNG  ,B ,Q,84.10,86.95,82.55,84.55,84.55,83.95,795,128429,10840126.00,
532616,XCHANGING   ,B ,Q,62.00,63.05,61.55,62.10,62.10,62.35,79,11604,725037.00,
532617,JETAIRWAYS  ,A ,Q,791.15,811.70,779.30,793.45,793.45,791.15,5400,348337,276626627.00,
532621,MORARJETEX  ,B ,Q,56.70,56.70,53.65,54.45,54.45,54.80,165,19130,1044071.00,
532622,GATEWAY DIST,A ,Q,243.95,243.95,234.50,235.85,239.75,238.15,222,5760,1362541.00,
532623,NR INTERNA  ,X ,Q,4.88,4.88,4.88,4.88,4.88,4.65,5,660,3220.00,
532624,JINDALPH    ,T ,Q,76.35,76.35,75.85,75.85,75.85,75.35,4,243,18440.00,
532626,PONDY OXIDES,X ,Q,679.00,679.00,650.05,656.70,655.10,663.60,350,10518,6938324.00,
532627,JPPOWER     ,B ,Q,7.35,7.68,7.35,7.49,7.46,7.56,463,487915,3660477.00,
532628,3I INFOTECH ,B ,Q,7.11,7.22,7.03,7.03,7.03,7.39,1230,2104096,14881902.00,
532629,MCNALLYB    ,T ,Q,61.65,63.70,60.05,60.75,60.70,62.55,41,7817,478997.00,
532630,GOKALDAS    ,B ,Q,122.00,125.90,118.10,123.05,123.05,119.95,766,51331,6267300.00,
532633,ALLSEC TECH ,B ,Q,437.95,437.95,430.00,432.80,437.00,434.10,29,524,227019.00,
532636,IIFL        ,A ,Q,694.90,705.00,688.00,702.50,703.50,697.55,522,9095,6366173.00,
532637,MAN DRUGORG ,B ,Q,192.00,194.00,185.00,189.45,189.45,190.40,341,16481,3119967.00,
532638,SHOPPER STOP,A ,Q,516.00,523.65,504.20,518.00,516.00,513.60,183,2715,1400235.00,
532640,CYBER MEDIA ,T ,Q,13.85,14.39,13.75,14.17,14.39,13.85,10,2199,30784.00,
